epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.9058,1.33457,3.3156,1.56335,0.00331,0.90625,0.17675,0.10333,1.20172,3.8784,1.74613,3.334e-05,3.334e-05,3.334e-05
2,15.4993,1.13366,3.12474,1.42912,0.00354,0.9375,0.39587,0.25713,1.03852,3.80162,1.59061,7.78489e-05,7.78489e-05,7.78489e-05
3,23.0653,1.11964,3.22056,1.5648,0.00369,1,0.41588,0.33154,0.88042,3.6426,1.39996,0.000115756,0.000115756,0.000115756
4,30.5215,1.21599,2.53392,1.50684,0.00335,1,0.4658,0.34423,0.89008,3.46632,1.34505,0.000147063,0.000147063,0.000147063
5,37.7209,0.88343,1.92629,1.2094,0.00322,1,0.49807,0.3699,0.84215,3.26062,1.28426,0.000171768,0.000171768,0.000171768
6,44.7814,0.91985,2.24309,1.36793,0.00319,1,0.50226,0.35778,0.87799,3.21232,1.3148,0.000189871,0.000189871,0.000189871
7,51.7647,0.70485,1.77764,1.15653,0.00333,1,0.50351,0.35153,0.83891,3.27208,1.35372,0.000201374,0.000201374,0.000201374
8,58.9596,0.73848,1.75403,1.13822,0.0034,1,0.50345,0.37513,0.8172,3.27525,1.3262,0.000206275,0.000206275,0.000206275
