epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.89906,1.33457,3.3156,1.56335,0.00331,0.90625,0.17675,0.10333,1.20172,3.8784,1.74613,3.334e-05,3.334e-05,3.334e-05
2,15.8047,1.13366,3.12474,1.42912,0.00354,0.9375,0.39587,0.25713,1.03852,3.80162,1.59061,7.78489e-05,7.78489e-05,7.78489e-05
3,23.2994,1.11964,3.22056,1.5648,0.00369,1,0.41588,0.33154,0.88042,3.6426,1.39996,0.000115756,0.000115756,0.000115756
4,30.7822,1.21599,2.53392,1.50684,0.00335,1,0.4658,0.34423,0.89008,3.46632,1.34505,0.000147063,0.000147063,0.000147063
5,38.2662,0.88343,1.92629,1.2094,0.00322,1,0.49807,0.3699,0.84215,3.26062,1.28426,0.000171768,0.000171768,0.000171768
6,45.5644,0.91985,2.24309,1.36793,0.00319,1,0.50226,0.35778,0.87799,3.21232,1.3148,0.000189871,0.000189871,0.000189871
7,52.6773,0.70485,1.77764,1.15653,0.00333,1,0.50351,0.35153,0.83891,3.27208,1.35372,0.000201374,0.000201374,0.000201374
8,60.2882,0.73848,1.75403,1.13822,0.0034,1,0.50345,0.37513,0.8172,3.27525,1.3262,0.000206275,0.000206275,0.000206275
9,68.0226,0.73608,1.89076,1.18425,0.00347,1,0.51094,0.41005,0.81199,3.17506,1.23085,0.000204574,0.000204574,0.000204574
10,75.3694,0.69771,1.79313,1.1026,0.09171,0.5,0.50509,0.38606,0.84892,3.15032,1.27411,0.000196273,0.000196273,0.000196273
11,82.6294,0.68313,1.77069,1.21865,0.8865,0.5,0.50202,0.37061,0.88023,3.12784,1.27125,0.00018137,0.00018137,0.00018137
12,89.5713,0.79532,1.82726,1.1559,0.96752,0.45036,0.50163,0.38019,0.88298,3.11061,1.24771,0.000159865,0.000159865,0.000159865
13,96.5108,0.7447,1.71639,1.16259,0.95558,0.32103,0.50163,0.38493,0.86603,3.05022,1.21566,0.00013176,0.00013176,0.00013176
14,103.502,0.70849,1.7145,1.08991,0.96446,0.40853,0.50308,0.39483,0.85868,3.01898,1.20894,9.70527e-05,9.70527e-05,9.70527e-05
15,110.529,0.65604,1.72938,1.14952,0.96696,0.44196,0.51896,0.40933,0.8409,2.95515,1.19881,5.57445e-05,5.57445e-05,5.57445e-05
